fattening_day,wts,yr,DOY,RAD,MINT,MAXT,VPR,WIND,RAIN,AHA,OKTA,is_observed,source_day,updated_at,season_start_date
1,1,1998,1,2481,6,6.8,0.933,1.7,2.2,0.920257639,6.16523966,1,1,2026-04-28T16:35:19Z,1998-01-01
2,1,1998,2,2671,4.3,9.6,0.858,5,5,0.915413096,5.935020311,1,2,2026-04-28T16:35:19Z,1998-01-01
3,1,1998,3,2745,4.1,12.6,0.893,5.3,2.2,0.910269181,5.829516618,1,3,2026-04-28T16:35:19Z,1998-01-01
4,1,1998,4,3859,2.5,11.9,0.753,5.2,1.2,0.904840361,4.037483894,1,4,2026-04-28T16:35:19Z,1998-01-01
5,1,1998,5,4838,3.4,10.8,0.743,6.1,5,0.89914155,2.120449931,1,5,2026-04-28T16:35:19Z,1998-01-01
6,1,1998,6,2652,6.7,10.3,0.943,3.3,4,0.893188024,6.051566937,1,6,2026-04-28T16:35:19Z,1998-01-01
7,1,1998,7,4297,4.9,12.9,0.918,2.9,0,0.886995327,3.203149524,1,7,2026-04-28T16:35:19Z,1998-01-01
8,1,1998,8,6140,2.9,13.7,0.813,1.8,0,0.880579186,0,1,8,2026-04-28T16:35:19Z,1998-01-01
9,1,1998,9,7065,-1,11.6,0.713,1.2,0,0.873955426,0,1,9,2026-04-28T16:35:19Z,1998-01-01
10,1,1998,10,7299,-0.2,11.6,0.768,2.2,0,0.867139891,0,1,10,2026-04-28T16:35:19Z,1998-01-01
11,1,1998,11,5322,2.9,13.9,0.768,2.9,0,0.860148369,1.664654373,1,11,2026-04-28T16:35:19Z,1998-01-01
12,1,1998,12,2947,2.3,11.6,0.808,2.7,0,0.852996519,5.938656774,1,12,2026-04-28T16:35:19Z,1998-01-01
13,1,1998,13,3816,7.8,14.1,0.903,7,2.4,0.845699807,4.582023328,1,13,2026-04-28T16:35:19Z,1998-01-01
14,1,1998,14,2917,5.5,8.7,0.828,3.4,0,0.87732203,6.063786278,1,14,2026-04-28T16:35:19Z,1998-01-01
15,1,1998,15,3289,-1.5,5.7,0.728,3.1,7.8,0.868981344,5.659010055,1,15,2026-04-28T16:35:19Z,1998-01-01
16,1,1998,16,2812,4.9,8.7,0.903,5,9,0.860539152,6.26130705,1,16,2026-04-28T16:35:19Z,1998-01-01
17,1,1998,17,5637,3.4,7.2,0.713,2.4,0,0.852011406,1.911606813,1,17,2026-04-28T16:35:19Z,1998-01-01
18,1,1998,18,2876,-2.7,8.2,0.708,4,14,0.843413505,6.371350225,1,18,2026-04-28T16:35:19Z,1998-01-01
19,1,1998,19,3105,5.1,8.8,0.828,5.1,4,0.83476026,6.069294969,1,19,2026-04-28T16:35:19Z,1998-01-01
20,1,1998,20,3075,0.7,2.7,0.638,6.5,0,0.826065862,6.266167152,1,20,2026-04-28T16:35:19Z,1998-01-01
21,1,1998,21,3774,2.1,4.2,0.598,5.2,0,0.817343865,5.476302909,1,21,2026-04-28T16:35:19Z,1998-01-01
22,1,1998,22,5886,-2.6,1.6,0.478,4.1,0,0.808607167,2.582911943,1,22,2026-04-28T16:35:19Z,1998-01-01
23,1,1998,23,8236,-2.4,3.8,0.508,1.6,0,0.799868001,0,1,23,2026-04-28T16:35:19Z,1998-01-01
24,1,1998,24,3092,-4.6,0.1,0.508,2.5,0.4,0.791137932,6.521872881,1,24,2026-04-28T16:35:19Z,1998-01-01
25,1,1998,25,3132,-0.9,0.5,0.523,2.8,0.4,0.782427851,6.518498835,1,25,2026-04-28T16:35:19Z,1998-01-01
26,1,1998,26,3381,-7.3,-1.1,0.458,1.3,0,0.773747984,6.350396196,1,26,2026-04-28T16:35:19Z,1998-01-01
27,1,1998,27,3215,-2.5,0.5,0.508,1.6,0,0.765107895,6.538547831,1,27,2026-04-28T16:35:19Z,1998-01-01
28,1,1998,28,3258,-2.6,0.5,0.543,1.6,0,0.790308266,6.523233387,1,28,2026-04-28T16:35:19Z,1998-01-01
29,1,1998,29,3302,-3.4,-1.9,0.503,1.7,0,0.780890464,6.553608275,1,29,2026-04-28T16:35:19Z,1998-01-01
30,1,1998,30,4691,-2.5,1.9,0.498,2.1,0,0.771555899,5.127385017,1,30,2026-04-28T16:35:19Z,1998-01-01
31,1,1998,31,4235,-1.7,3.2,0.518,2,0,0.762312065,5.701619419,1,31,2026-04-28T16:35:19Z,1998-01-01
32,1,1998,32,4284,-1.9,3.1,0.582,2.1,0,0.753165771,5.667673868,1,32,2026-04-28T16:35:19Z,1998-01-01
33,1,1998,33,3487,-1.1,-0.4,0.553,1.6,0,0.744123172,6.549267829,1,33,2026-04-28T16:35:19Z,1998-01-01
34,1,1998,34,5277,-3.2,-0.6,0.478,2.2,0,0.735189799,4.833717214,1,34,2026-04-28T16:35:19Z,1998-01-01
35,1,1998,35,7959,-6.1,1,0.423,1.3,0,0.726370585,1.590158362,1,35,2026-04-28T16:35:19Z,1998-01-01
36,1,1998,36,6462,-7.8,0.4,0.428,1,0,0.717669902,3.725734732,1,36,2026-04-28T16:35:19Z,1998-01-01
37,1,1998,37,6768,-6.7,1,0.448,1.1,0,0.709091585,3.446316541,1,37,2026-04-28T16:35:19Z,1998-01-01
38,1,1998,38,3777,-6,2.5,0.548,1.4,2.2,0.700638963,6.551003571,1,38,2026-04-28T16:35:19Z,1998-01-01
39,1,1998,39,7328,-1.4,4.8,0.628,1.3,0,0.692314894,2.730337936,1,39,2026-04-28T16:35:19Z,1998-01-01
40,1,1998,40,9720,-4.2,10.5,0.573,1.3,0,0.712938557,0,1,40,2026-04-28T16:35:19Z,1998-01-01
41,1,1998,41,11175,-2.7,12.9,0.603,1.2,0,0.704071371,0,1,41,2026-04-28T16:35:19Z,1998-01-01
42,1,1998,42,11577,-3,14.3,0.578,1.1,0,0.695363207,0,1,42,2026-04-28T16:35:19Z,1998-01-01
43,1,1998,43,11583,-2.4,16,0.613,1,0,0.686814892,0,1,43,2026-04-28T16:35:19Z,1998-01-01
44,1,1998,44,11750,-2.7,15.6,0.648,1.2,0,0.678426888,0,1,44,2026-04-28T16:35:19Z,1998-01-01
45,1,1998,45,11632,-1.6,14.6,0.728,1.1,0,0.670199317,0,1,45,2026-04-28T16:35:19Z,1998-01-01
46,1,1998,46,9816,-1.7,13.3,0.748,1.1,0,0.66213199,0.481203344,1,46,2026-04-28T16:35:19Z,1998-01-01
47,1,1998,47,6958,-1.6,15.2,0.853,2.5,0,0.654224435,3.984286222,1,47,2026-04-28T16:35:19Z,1998-01-01
48,1,1998,48,6453,5.8,10,0.793,2.9,0,0.646475927,4.664641264,1,48,2026-04-28T16:35:19Z,1998-01-01
49,1,1998,49,8785,-1.6,10.7,0.703,1.6,0,0.638885506,2.416219655,1,49,2026-04-28T16:35:19Z,1998-01-01
50,1,1998,50,9835,-1.9,13.5,0.753,1.3,0,0.656811025,1.263885363,1,50,2026-04-28T16:35:19Z,1998-01-01
51,1,1998,51,10286,-1.6,17.3,0.768,2,0,0.648818374,0.878821727,1,51,2026-04-28T16:35:19Z,1998-01-01
52,1,1998,52,8699,3.7,16.8,0.848,3.5,16,0.641004231,2.784273175,1,52,2026-04-28T16:35:19Z,1998-01-01
53,1,1998,53,5757,7.4,10.1,0.883,2.8,2.2,0.633366193,5.651862205,1,53,2026-04-28T16:35:19Z,1998-01-01
54,1,1998,54,4435,2.1,6.6,0.683,5.6,0,0.62590173,6.775057976,1,54,2026-04-28T16:35:19Z,1998-01-01
55,1,1998,55,12763,-0.6,11.6,0.758,4.6,0,0.618608203,0,1,55,2026-04-28T16:35:19Z,1998-01-01
56,1,1998,56,5481,3.5,12.1,0.923,2.6,0,0.611482882,6.046160658,1,56,2026-04-28T16:35:19Z,1998-01-01
57,1,1998,57,5280,4.7,11,0.948,0.8,0,0.604522961,6.239013798,1,57,2026-04-28T16:35:19Z,1998-01-01
58,1,1998,58,4935,6,11.7,0.943,1.8,0,0.59772557,6.530326842,1,58,2026-04-28T16:35:19Z,1998-01-01
59,1,1998,59,5464,6.9,11.2,0.853,3.9,1.4,0.613844997,6.268345158,1,59,2026-04-28T16:35:19Z,1998-01-01
60,1,1998,60,8512,4.7,10.2,0.738,2.7,0,0.606735159,4.109828693,1,60,2026-04-28T16:35:19Z,1998-01-01
61,1,1998,61,6312,4.1,11.7,0.723,1.6,0,0.599801648,6.515299754,1,61,2026-04-28T16:35:19Z,1998-01-01
62,1,1998,62,6245,1.3,15.4,0.733,3.6,0,0.593040663,6.595485948,1,62,2026-04-28T16:35:19Z,1998-01-01
63,1,1998,63,5507,10.1,16.3,0.903,5.8,2,0.586448418,6.968414769,1,63,2026-04-28T16:35:19Z,1998-01-01
64,1,1998,64,12719,6.9,12.3,0.703,4.5,0,0.580021147,2.668048227,1,64,2026-04-28T16:35:19Z,1998-01-01
65,1,1998,65,12262,1.9,16.2,0.658,2.7,0,0.573755117,3.163268988,1,65,2026-04-28T16:35:19Z,1998-01-01
66,1,1998,66,5620,2.5,14.2,0.863,3.8,1.6,0.567646628,7.030556335,1,66,2026-04-28T16:35:19Z,1998-01-01
67,1,1998,67,5541,8.1,8.9,0.893,4.1,12.6,0.561692025,7.095125677,1,67,2026-04-28T16:35:19Z,1998-01-01
68,1,1998,68,7748,5,6,0.608,4.5,0,0.576272815,6.167487555,1,68,2026-04-28T16:35:19Z,1998-01-01
69,1,1998,69,15255,-4.5,8.9,0.393,2.2,6,0.570074303,1.73240136,1,69,2026-04-28T16:35:19Z,1998-01-01
70,1,1998,70,5749,0.7,5.6,0.723,3.1,7,0.564038867,7.129547868,1,70,2026-04-28T16:35:19Z,1998-01-01
71,1,1998,71,5818,2.3,4.1,0.673,5,0.8,0.558162305,7.140501434,1,71,2026-04-28T16:35:19Z,1998-01-01
